volume,scale_factor,time,time_plus_1.2,cen,dmn,stage,cen_cumulative_hits,dmn_cumulative_hits,pda_outlier,ball_y_position,top_circle_y_position,bottom_circle_y_position
0,7.03125,12.015921199985314,13.215932199981761,0.0,0.0,baseline,0,0,nan,nan,nan,nan
1,7.03125,12.105835199996363,13.305838799994671,0.0,0.0,baseline,0,0,nan,nan,nan,nan
2,7.03125,12.338666900002863,13.538679599983151,0.0,0.0,baseline,0,0,nan,nan,nan,nan
3,7.03125,12.500593299977481,13.700596899975789,0.0,0.0,baseline,0,0,nan,nan,nan,nan
4,7.03125,12.756999199977145,13.957008299988228,0.0,0.0,baseline,0,0,nan,nan,nan,nan
5,7.03125,12.921094799996354,14.121103899978333,0.0,0.0,baseline,0,0,nan,nan,nan,nan
6,7.03125,13.054335900000297,14.254345699987606,0.0,0.0,baseline,0,0,nan,nan,nan,nan
7,7.03125,13.105835499998648,14.305846599995856,0.0,0.0,baseline,0,0,nan,nan,nan,nan
8,7.03125,13.155474300001515,14.355477799999061,0.243744,0.274413,baseline,0,0,nan,nan,nan,nan
9,7.03125,13.204516199999489,14.404527199995936,-0.032154,-0.139026,baseline,0,0,nan,nan,nan,nan
10,7.03125,13.886471199977677,15.086483699985546,-0.001687,0.00809,baseline,0,0,nan,nan,nan,nan
11,7.03125,15.02383279998321,16.22383639998152,0.170589,0.035433,baseline,0,0,nan,nan,nan,nan
12,7.03125,16.264028799982043,17.46403979997849,0.305148,0.05497,baseline,0,0,nan,nan,nan,nan
13,7.03125,17.46712019998813,18.667123799986438,0.113353,0.11896,baseline,0,0,nan,nan,nan,nan
14,7.03125,18.63656839999021,19.836581099999602,-0.028357,-0.09507,baseline,0,0,nan,nan,nan,nan
15,7.03125,19.871231999975862,21.071241099986945,-0.040078,-0.064984,baseline,0,0,nan,nan,nan,nan
16,7.03125,21.068840599997202,22.26885169999441,-0.071131,0.03924,baseline,0,0,nan,nan,nan,nan
17,7.03125,22.253841400000965,23.453844999999273,-0.37197,0.087301,baseline,0,0,nan,nan,nan,nan
18,7.03125,23.45643459999701,24.656447299977298,-0.418552,0.243194,baseline,0,0,nan,nan,nan,nan
19,7.03125,24.662251100002322,25.86226209999877,0.114796,0.195262,baseline,0,0,nan,nan,nan,nan
20,7.03125,25.869192899990594,27.06920389998704,-0.163113,0.310872,baseline,0,0,nan,nan,nan,nan
21,7.03125,27.06421829998726,28.264221799984806,-0.170333,0.029263,baseline,0,0,nan,nan,nan,nan
22,7.03125,28.29983549998724,29.499846599984448,0.006528,-0.093186,baseline,0,0,nan,nan,nan,nan
23,7.03125,29.490191799995955,30.690202899993164,0.101057,0.269813,baseline,0,0,nan,nan,nan,nan
24,7.03125,30.65884359998745,31.85884749998804,0.130508,0.33306,feedback,0,0,False,0.0,0.3333333333333333,-0.3333333333333333
25,7.03125,31.877659199992195,33.07766289999127,0.219754,0.096374,feedback,0,0,False,-0.005093971571228576,0.3333333333333333,-0.3333333333333333
26,7.03125,33.058413999999175,34.25842629997642,0.07433,0.228633,feedback,0,0,False,-0.0018717517620758786,0.3333333333333333,-0.3333333333333333
27,7.03125,34.25489149999339,35.45489499999094,0.178459,0.275593,feedback,0,0,False,-0.006200068168822565,0.3333333333333333,-0.3333333333333333
28,7.03125,35.51252299998305,36.71252669998212,0.399411,0.21219,feedback,0,0,False,-0.008924750682143316,0.3333333333333333,-0.3333333333333333
29,7.03125,36.65865999998641,37.85866389998701,0.556845,0.096461,feedback,0,0,False,-0.004035244968985774,0.3333333333333333,-0.3333333333333333
30,7.03125,37.856322499981616,39.05632629998145,0.657082,-0.099846,feedback,0,0,False,0.010214819639523472,0.3333333333333333,-0.3333333333333333
31,7.03125,39.09266059999936,40.292669699981346,0.800514,-0.342837,feedback,0,0,False,0.03364368099002585,0.3333333333333333,-0.3333333333333333
32,7.03125,40.32966029999079,41.529669200000356,0.928522,-0.0168,feedback,0,0,False,0.0646096190280076,0.3333333333333333,-0.3333333333333333
33,7.03125,41.48431959998561,42.6843286999967,1.04745,0.01239,feedback,0,0,False,0.09204099881608649,0.3333333333333333,-0.3333333333333333
34,7.03125,42.71035729997675,43.91036099997582,1.002143,-0.015585,feedback,0,0,False,0.12307757834020308,0.3333333333333333,-0.3333333333333333
35,7.03125,43.92934969998896,45.12935869999929,0.818903,0.210472,feedback,0,0,False,0.15261003742711898,0.3333333333333333,-0.3333333333333333
36,7.03125,45.0932847999793,46.293288599979135,0.914158,0.063159,feedback,0,0,False,0.1684999581655094,0.3333333333333333,-0.3333333333333333
37,7.03125,46.29552439998952,47.49552809998859,0.918199,0.260179,feedback,0,0,False,0.18990169556204944,0.3333333333333333,-0.3333333333333333
38,7.03125,47.48981629998889,48.6898198999872,0.95878,0.009111,feedback,0,0,False,0.20645021235428007,0.3333333333333333,-0.3333333333333333
39,7.03125,48.71105699997861,49.911060899979205,1.01805,-0.471446,feedback,0,0,False,0.23308914946942808,0.3333333333333333,-0.3333333333333333
40,7.03125,49.91026849998161,51.110272199980685,0.946555,-0.468067,feedback,0,0,False,0.27919286774399016,0.3333333333333333,-0.3333333333333333
