volume,scale_factor,time,time_plus_1.2,cen,dmn,stage,cen_cumulative_hits,dmn_cumulative_hits,pda_outlier,ball_y_position,top_circle_y_position,bottom_circle_y_position
0,10,0.3364529999962542,1.5364616999751888,0.0,0.0,baseline,0,0,nan,nan,nan,nan
1,10,0.3915670999849681,1.5915743999823462,0.0,0.0,baseline,0,0,nan,nan,nan,nan
2,10,0.4237704999977723,1.6237805999873671,0.0,0.0,baseline,0,0,nan,nan,nan,nan
3,10,0.4567162999883294,1.656725899974117,0.0,0.0,baseline,0,0,nan,nan,nan,nan
4,10,0.49056379997637123,1.6905706999998074,0.0,0.0,baseline,0,0,nan,nan,nan,nan
5,10,0.5226309999998193,1.7226347999996505,0.0,0.0,baseline,0,0,nan,nan,nan,nan
6,10,0.5557914999953937,1.755795099993702,0.0,0.0,baseline,0,0,nan,nan,nan,nan
7,10,0.5889885999786202,1.788994999998249,0.0,0.0,baseline,0,0,nan,nan,nan,nan
8,10,0.6236421999929007,1.823645799991209,0.264327,0.175318,baseline,0,0,nan,nan,nan,nan
9,10,0.6565514999965671,1.8565611999831162,0.138576,0.087199,baseline,0,0,nan,nan,nan,nan
10,10,0.6803607999754604,1.8803676999988965,0.022275,0.016917,baseline,0,0,nan,nan,nan,nan
11,10,0.7249675999919418,1.9249749999900814,0.080329,0.013186,baseline,0,0,nan,nan,nan,nan
12,10,0.7658425999979954,1.9658526999875903,-0.035495,-0.050259,baseline,0,0,nan,nan,nan,nan
13,10,0.8067171000002418,2.0067239999945743,-0.00367,-0.010776,baseline,0,0,nan,nan,nan,nan
14,10,0.84215799998492,2.0421681999752765,-0.048633,-0.055143,baseline,0,0,nan,nan,nan,nan
15,10,1.264299000002211,2.4643093999940904,-0.271067,-0.398125,baseline,0,0,nan,nan,nan,nan
16,10,2.430602899985388,3.6306686999916566,-0.213953,-0.289377,baseline,0,0,nan,nan,nan,nan
17,10,3.6319293999986257,4.8319325999938885,0.294325,0.129525,baseline,0,0,nan,nan,nan,nan
